rank,ticker,name,sector,cap_band,close,ret_period,bench_ret,rs_vs_bench,rs_5d,rs_21d,rs_trend,max_dd_period,bench_dd,dd_vs_bench,current_dd,peer_rs_score,vol_label,rel_vol,acc_watch,pass_trend,score,period_label,period_start,trading_days
716,EVLV,EVOLV TECHNOLOGIES HOLDINGS INC CL,Information Technology,small,6.63,16.73,12.97,3.76,0.95,,STRONG_DOWN,-4.57,-0.85,-3.72,-2.21,44.5,LOW,0.6363,-,0,15.97,period_1,2026-03-30,19
717,UNP,Union Pacific Corporation,Industrials,large,268.7,12.32,12.97,-0.65,5.81,,STRONG_UP,-1.59,-0.85,-0.74,-0.94,53.33,MED,1.0422,-,1,15.961,period_1,2026-03-30,19
718,FIHL,FIDELIS INSURANCE HOLDINGS LTD,Financials,small,20.96,9.28,12.97,-3.69,-0.16,,STRONG_UP,-1.96,-0.85,-1.11,-1.55,56.94,LOW,0.4924,-,1,15.939,period_1,2026-03-30,19
719,JPM,JPMorgan Chase,Financials,large,308.28,9.19,12.97,-3.78,-3.48,,STRONG_UP,-2.75,-0.85,-1.9,-2.75,56.23,LOW,0.5096,-,1,15.927,period_1,2026-03-30,19
720,LII,Lennox International,Industrials,large,490.97,10.91,12.97,-2.06,-1.24,,STRONG_UP,-7.92,-0.85,-7.07,-5.66,48.75,LOW,,PROGRESS,0,15.922,period_1,2026-03-30,19
721,PPL,PPL Corporation,Utilities,large,38.75,1.92,12.97,-11.05,-0.68,,STRONG_UP,-5.1,-0.85,-4.25,-2.66,63.46,LOW,0.7122,-,1,15.893,period_1,2026-03-30,19
722,GDOT,GREEN DOT CORP CLASS A,Financials,small,12.2,9.22,12.97,-3.75,-2.9,,STRONG_UP,-2.17,-0.85,-1.32,-2.17,56.58,LOW,0.5697,-,0,15.87,period_1,2026-03-30,19
723,ALB,Albemarle Corporation,Materials,large,188.33,6.27,12.97,-6.7,-4.07,,STRONG_UP,-12.66,-0.85,-11.81,-12.66,50.0,LOW,0.769,-,1,15.863,period_1,2026-03-30,19
724,DBD,DIEBOLD NIXDORF INC,Information Technology,mid,85.64,16.36,12.97,3.39,-2.91,,STRONG_DOWN,-5.15,-0.85,-4.3,-3.53,43.98,LOW,0.7161,-,1,15.84,period_1,2026-03-30,19
725,NMRK,NEWMARK GROUP INC CLASS A,Real Estate,mid,16.04,9.26,12.97,-3.71,-3.94,,STRONG_DOWN,-3.26,-0.85,-2.41,-3.2,55.29,LOW,0.4988,SHIFT,0,15.826,period_1,2026-03-30,19
726,WVE,WAVE LIFE SCIENCES LTD,Health Care,small,7.18,8.46,12.97,-4.51,-6.01,,STRONG_DOWN,-5.79,-0.85,-4.94,-5.4,53.7,LOW,,-,0,15.788,period_1,2026-03-30,19
727,PG,Procter & Gamble,Consumer Staples,large,148.18,3.16,12.97,-9.81,2.59,,STRONG_UP,-3.14,-0.85,-2.29,0.0,63.33,MED,1.2879,PROGRESS,0,15.762,period_1,2026-03-30,19
728,LZ,LEGALZOOM COM INC,Industrials,small,6.31,10.9,12.97,-2.07,-4.69,,STRONG_DOWN,-7.73,-0.85,-6.88,-4.54,48.33,LOW,0.4769,-,0,15.735,period_1,2026-03-30,19
729,SFL,SFL LTD,Energy,small,10.93,3.11,12.97,-9.86,-1.91,,STRONG_UP,-2.8,-0.85,-1.95,-1.26,63.64,LOW,0.5968,-,1,15.733,period_1,2026-03-30,19
730,EFSC,ENTERPRISE FINANCIAL SERVICES CORP,Financials,mid,58.83,9.15,12.97,-3.82,-0.16,,STRONG_UP,-2.86,-0.85,-2.01,-0.32,55.52,HIGH,1.5556,-,1,15.731,period_1,2026-03-30,19
731,AVAV,AEROVIRONMENT INC,Industrials,mid,196.28,10.91,12.97,-2.06,-1.22,,STRONG_UP,-6.58,-0.85,-5.73,-6.58,49.17,LOW,0.5213,PROGRESS,0,15.646,period_1,2026-03-30,19
732,TMHC,TAYLOR MORRISON HOME CORP,Consumer Discretionary,mid,63.24,10.54,12.97,-2.43,1.48,,STRONG_UP,-4.83,-0.85,-3.98,-2.71,51.39,MED,1.0522,-,1,15.639,period_1,2026-03-30,19
733,XERS,XERIS BIOPHARMA HOLDINGS INC,Health Care,small,6.05,8.04,12.97,-4.93,-3.94,,STRONG_UP,-7.54,-0.85,-6.69,-5.02,51.75,LOW,0.5966,-,0,15.56,period_1,2026-03-30,19
734,PRCH,PORCH GROUP INC,Information Technology,small,7.89,14.35,12.97,1.38,-1.86,,STRONG_DOWN,-9.99,-0.85,-9.14,-3.78,40.84,MED,1.1675,-,0,15.546,period_1,2026-03-30,19
735,LZB,LA-Z-BOY INC,Consumer Discretionary,small,35.4,10.76,12.97,-2.21,-2.68,,STRONG_DOWN,-2.72,-0.85,-1.87,-2.72,52.78,LOW,0.6486,-,1,15.511,period_1,2026-03-30,19
736,PAX,PATRIA INVESTMENTS LTD CLASS A,Financials,mid,13.09,8.9,12.97,-4.07,-2.39,,STRONG_UP,-3.52,-0.85,-2.67,-1.95,54.45,LOW,0.7746,SHIFT,0,15.508,period_1,2026-03-30,19
