rank,delta_rank,ticker,name,sector,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
108,0,DMG.AX,Dragon Mountain Gold,Gold,small,0.008,48.37,-0.0385,-0.2267,-0.0098,FLAT,-20.00%,60.00%,0.00%,-53.85%,11.20%,180.89%,0.0,LOW,-,0.0099,0.0091,0.0079,1,3.715,LAGGARD,11.5492
109,0,OZM.AX,OzAurum Resources Limited,Gold,small,0.09,20.26,0.0095,-0.0239,0.5362,FLAT,47.54%,3.45%,100.00%,-58.33%,38.80%,136.45%,0.2622,LOW,-,0.0927,0.0988,0.0726,1,0.9805,LAGGARD,11.4022
110,0,BHL.AX,Black Horse Mining Limited,Gold,small,0.295,12.42,-0.0712,-0.1313,-0.1423,STRONG_UP,,-15.71%,-15.71%,-62.81%,38.55%,112.89%,0.4003,LOW,-,0.3032,0.3869,,0,-5.3662,WEAK,11.3038
111,0,AVW.AX,Avira Resources Limited,Gold,small,0.009,35.29,-0.2203,-0.2796,-0.0805,FLAT,-30.77%,28.57%,-55.00%,-50.00%,16.40%,116.29%,1.2264,MED,-,0.0111,0.0119,0.0108,0,4.0293,WEAK,11.2899
112,0,HMG.AX,Hamelin Gold Limited,Gold,small,0.125,45.75,0.0046,0.0529,0.8934,STRONG_DOWN,78.57%,58.23%,66.67%,-48.48%,30.40%,152.59%,0.974,LOW,-,0.1309,0.1118,0.0794,1,11.6005,LAGGARD,11.2212
113,0,KTA.AX,Krakatoa Resources Limited,Gold,small,0.0065,9.8,-0.1099,0.0886,-0.2487,FLAT,-45.83%,-18.75%,-18.75%,-66.67%,25.20%,122.93%,0.2799,LOW,-,0.0069,0.0079,0.0111,0,-3.8437,WEAK,11.1944
114,0,AGC.AX,Australian Gold and Copper Ltd,Gold,small,0.18,32.03,-0.0655,-0.0049,-0.1487,FLAT,-5.26%,24.14%,150.00%,-49.18%,36.00%,99.05%,0.1609,LOW,-,0.1905,0.2231,0.2003,0,8.773,WEAK,10.969
115,0,HMX.AX,Hammer Metals Limited,Gold,small,0.031,31.37,-0.0697,-0.1825,0.1077,FLAT,-22.50%,24.00%,-34.04%,-50.00%,32.80%,97.18%,0.0204,LOW,-,0.0364,0.0405,0.0334,0,8.1004,WEAK,10.9543
116,0,PGD.AX,Peregrine Gold Limited,Gold,small,0.14,5.23,0.1296,-0.1242,-0.3603,STRONG_UP,-56.92%,-26.32%,-40.43%,-64.71%,32.80%,99.80%,0.0,LOW,-,0.1495,0.2017,0.2446,0,-8.6489,WEAK,10.8356
117,0,BTR.AX,Brightstar Resources Limited,Gold,small,0.37,11.11,0.0052,-0.1237,-0.2071,STRONG_UP,-31.48%,-17.78%,-17.78%,-57.45%,42.80%,85.62%,1.0946,MED,-,0.3968,0.4854,0.4836,0,-8.8868,WEAK,10.7917
118,0,WSR.AX,Westar Resources Limited,Gold,small,0.006,28.1,-0.0385,0.16,0.1077,FLAT,-33.33%,20.00%,-50.00%,-45.00%,11.20%,111.20%,1.9895,HIGH,-,0.0061,0.0068,0.0067,0,2.0144,WEAK,10.6226
119,0,M2R.AX,Miramar Resources Limited,Gold,small,0.0025,11.76,-0.2051,-0.2171,-0.0654,FLAT,-16.67%,-16.67%,-79.17%,-60.00%,18.00%,206.23%,0.6941,LOW,-,0.0032,0.0038,0.0034,0,-1.4547,WEAK,10.4018
120,0,RTG.AX,RTG Mining Inc.,Gold,small,0.033,37.25,-0.0679,-0.0171,-0.0303,FLAT,0.00%,32.00%,43.48%,-40.54%,31.20%,88.44%,0.0268,LOW,-,0.0358,0.0372,0.0321,1,11.289,LAGGARD,10.3957
121,0,M2M.AX,Mt Malcolm Mines NL,Gold,small,0.012,3.92,0.163,0.0831,-0.0416,STRONG_UP,-47.83%,-45.45%,-50.00%,-65.52%,28.80%,107.33%,0.0,LOW,-,0.0113,0.0133,0.018,0,-12.1969,WEAK,10.2143
122,0,AWJ.AX,Auric Mining Limited,Gold,small,0.325,29.41,0.0114,0.1917,0.2094,STRONG_DOWN,35.42%,22.64%,71.05%,-48.33%,36.40%,102.41%,0.5939,LOW,-,0.3383,0.3142,0.2496,1,8.0476,LAGGARD,10.1865
